index,forest_length,likelihood,prior,posterior,leaves
0,0.892849,-2449.03,-13.9195,-2462.95,"{t2|t3|t4}|{t1}"
1,0.510745,-2189.92,-13.9276,-2203.84,"{t1|t2|t4}|{t3}"
2,0.951046,-2338.14,-13.9221,-2352.06,"{t3|t4}|{t1|t2}"
3,0.615043,-2188.6,-13.9364,-2202.53,"{t1|t2|t4}|{t3}"
4,0.89842,-2323.15,-13.9291,-2337.08,"{t1|t2|t3}|{t4}"
5,0.983073,-2323.33,-13.9336,-2337.27,"{t1|t2|t3}|{t4}"
6,1.09217,-2550.78,-13.9252,-2564.71,"{t1|t3|t4}|{t2}"
7,0.623012,-2189.36,-13.9266,-2203.29,"{t1|t2|t4}|{t3}"
8,0.838947,-2323.83,-13.922,-2337.75,"{t1|t2|t3}|{t4}"
9,1.23964,-2549.78,-13.9402,-2563.72,"{t1|t3|t4}|{t2}"
10,0.882438,-2323.95,-13.9231,-2337.87,"{t1|t2|t3}|{t4}"
11,1.1908,-2551.17,-13.9359,-2565.11,"{t1|t3|t4}|{t2}"
12,0.840976,-2323.89,-13.9169,-2337.81,"{t1|t2|t3}|{t4}"
13,1.13821,-2553.45,-13.932,-2567.38,"{t1|t3|t4}|{t2}"
14,1.19409,-2549.61,-13.9368,-2563.54,"{t1|t3|t4}|{t2}"
15,1.02468,-2336.27,-13.9314,-2350.2,"{t3|t4}|{t1|t2}"
16,1.09924,-2551.22,-13.9279,-2565.14,"{t1|t3|t4}|{t2}"
17,0.576153,-2188.22,-13.9264,-2202.15,"{t1|t2|t4}|{t3}"
18,0.861281,-2448.97,-13.9212,-2462.9,"{t2|t3|t4}|{t1}"
19,0.578164,-2188.75,-13.9351,-2202.69,"{t1|t2|t4}|{t3}"
20,0.925904,-2448.14,-13.93,-2462.07,"{t2|t3|t4}|{t1}"
21,1.08126,-2552.92,-13.9242,-2566.85,"{t1|t3|t4}|{t2}"
22,1.00405,-2336.16,-13.9294,-2350.09,"{t3|t4}|{t1|t2}"
23,0.922042,-2450.08,-13.9287,-2464.01,"{t2|t3|t4}|{t1}"
24,1.13899,-2551.1,-13.9331,-2565.03,"{t1|t3|t4}|{t2}"
25,0.97662,-2447.03,-13.9323,-2460.97,"{t2|t3|t4}|{t1}"
26,0.544501,-2189.45,-13.9251,-2203.37,"{t1|t2|t4}|{t3}"
27,1.24135,-2550.29,-13.9403,-2564.23,"{t1|t3|t4}|{t2}"
28,0.931358,-2323.24,-13.9303,-2337.17,"{t1|t2|t3}|{t4}"
29,0.966944,-2448.09,-13.9354,-2462.02,"{t2|t3|t4}|{t1}"
30,0.868824,-2338.72,-13.9179,-2352.64,"{t3|t4}|{t1|t2}"
31,0.565645,-2190.72,-13.9316,-2204.65,"{t1|t2|t4}|{t3}"
32,0.918015,-2447.72,-13.9263,-2461.65,"{t2|t3|t4}|{t1}"
33,0.845948,-2450.39,-13.9202,-2464.31,"{t2|t3|t4}|{t1}"
34,0.978791,-2447.21,-13.9329,-2461.15,"{t2|t3|t4}|{t1}"
35,0.952054,-2447.14,-13.928,-2461.07,"{t2|t3|t4}|{t1}"
36,0.902956,-2322.74,-13.9302,-2336.67,"{t1|t2|t3}|{t4}"
37,0.657154,-2191.81,-13.9381,-2205.75,"{t1|t2|t4}|{t3}"
38,0.848702,-2324.81,-13.9232,-2338.73,"{t1|t2|t3}|{t4}"
39,0.991523,-2336.35,-13.9293,-2350.27,"{t3|t4}|{t1|t2}"
40,0.582898,-2188.35,-13.9336,-2202.28,"{t1|t2|t4}|{t3}"
41,0.988248,-2336.23,-13.9267,-2350.15,"{t3|t4}|{t1|t2}"
42,0.473316,-2191.95,-13.9252,-2205.88,"{t1|t2|t4}|{t3}"
43,0.537911,-2189.33,-13.9358,-2203.26,"{t1|t2|t4}|{t3}"
44,1.135,-2552.03,-13.9301,-2565.96,"{t1|t3|t4}|{t2}"
45,0.908823,-2323.98,-13.9312,-2337.91,"{t1|t2|t3}|{t4}"
46,0.90731,-2337.56,-13.9225,-2351.48,"{t3|t4}|{t1|t2}"
47,1.04831,-2448.16,-13.9393,-2462.09,"{t2|t3|t4}|{t1}"
48,0.543534,-2189.13,-13.9267,-2203.06,"{t1|t2|t4}|{t3}"
49,0.526624,-2190.87,-13.9263,-2204.79,"{t1|t2|t4}|{t3}"
50,0.597332,-2189.51,-13.9298,-2203.44,"{t1|t2|t4}|{t3}"
51,0.600818,-2189.01,-13.9262,-2202.93,"{t1|t2|t4}|{t3}"
52,0.825382,-2326.66,-13.9198,-2340.58,"{t1|t2|t3}|{t4}"
53,0.602236,-2189.85,-13.933,-2203.78,"{t1|t2|t4}|{t3}"
54,0.919194,-2322.86,-13.9269,-2336.79,"{t1|t2|t3}|{t4}"
55,1.06984,-2550.97,-13.9228,-2564.89,"{t1|t3|t4}|{t2}"
56,0.839151,-2325.7,-13.9206,-2339.63,"{t1|t2|t3}|{t4}"
57,0.865907,-2323.14,-13.9275,-2337.06,"{t1|t2|t3}|{t4}"
58,0.637466,-2189.42,-13.9394,-2203.36,"{t1|t2|t4}|{t3}"
59,0.936134,-2341.05,-13.924,-2354.97,"{t3|t4}|{t1|t2}"
60,1.01865,-2323.53,-13.9368,-2337.47,"{t1|t2|t3}|{t4}"
61,1.12363,-2449.37,-13.9485,-2463.32,"{t2|t3|t4}|{t1}"
62,0.957967,-2449.81,-13.9302,-2463.74,"{t2|t3|t4}|{t1}"
63,1.05638,-2337.95,-13.9398,-2351.89,"{t3|t4}|{t1|t2}"
64,0.569421,-2190.3,-13.9239,-2204.22,"{t1|t2|t4}|{t3}"
65,0.91289,-2449.12,-13.9277,-2463.05,"{t2|t3|t4}|{t1}"
66,0.878022,-2448.23,-13.9196,-2462.15,"{t2|t3|t4}|{t1}"
67,0.927196,-2322.36,-13.9285,-2336.28,"{t1|t2|t3}|{t4}"
68,1.00213,-2336.24,-13.9259,-2350.17,"{t3|t4}|{t1|t2}"
69,1.22457,-2549.68,-13.9402,-2563.62,"{t1|t3|t4}|{t2}"
70,1.08037,-2553.61,-13.9259,-2567.53,"{t1|t3|t4}|{t2}"
71,1.00564,-2324.87,-13.9383,-2338.81,"{t1|t2|t3}|{t4}"
72,0.957278,-2336.63,-13.9235,-2350.55,"{t3|t4}|{t1|t2}"
73,1.14338,-2338,-13.9429,-2351.94,"{t3|t4}|{t1|t2}"
74,0.527797,-2189.16,-13.9222,-2203.08,"{t1|t2|t4}|{t3}"
75,0.89715,-2448.14,-13.9222,-2462.06,"{t2|t3|t4}|{t1}"
76,0.942904,-2322.28,-13.93,-2336.21,"{t1|t2|t3}|{t4}"
77,0.858679,-2323.39,-13.9229,-2337.31,"{t1|t2|t3}|{t4}"
78,0.981114,-2336.27,-13.9284,-2350.19,"{t3|t4}|{t1|t2}"
79,1.01375,-2336.43,-13.9374,-2350.37,"{t3|t4}|{t1|t2}"
80,0.530278,-2191.64,-13.924,-2205.56,"{t1|t2|t4}|{t3}"
81,0.973619,-2336.51,-13.9296,-2350.44,"{t3|t4}|{t1|t2}"
82,1.0579,-2336.61,-13.9345,-2350.55,"{t3|t4}|{t1|t2}"
83,1.27692,-2551.06,-13.9461,-2565.01,"{t1|t3|t4}|{t2}"
84,1.05874,-2551.94,-13.9243,-2565.87,"{t1|t3|t4}|{t2}"
85,0.926405,-2448.49,-13.9319,-2462.43,"{t2|t3|t4}|{t1}"
86,0.990477,-2336.5,-13.9313,-2350.43,"{t3|t4}|{t1|t2}"
87,1.15942,-2549.64,-13.9321,-2563.57,"{t1|t3|t4}|{t2}"
88,0.914066,-2324.77,-13.9266,-2338.7,"{t1|t2|t3}|{t4}"
89,0.865765,-2322.91,-13.9219,-2336.83,"{t1|t2|t3}|{t4}"
90,0.913864,-2449.04,-13.9257,-2462.96,"{t2|t3|t4}|{t1}"
91,0.875642,-2449.32,-13.9211,-2463.24,"{t2|t3|t4}|{t1}"
92,0.593313,-2189.58,-13.9333,-2203.51,"{t1|t2|t4}|{t3}"
93,0.979075,-2323.52,-13.9324,-2337.45,"{t1|t2|t3}|{t4}"
94,1.06415,-2552.51,-13.924,-2566.44,"{t1|t3|t4}|{t2}"
95,0.589804,-2190.36,-13.9358,-2204.29,"{t1|t2|t4}|{t3}"
96,1.1619,-2550.76,-13.9321,-2564.7,"{t1|t3|t4}|{t2}"
97,1.073,-2325.39,-13.9417,-2339.34,"{t1|t2|t3}|{t4}"
98,0.941322,-2324.57,-13.9347,-2338.5,"{t1|t2|t3}|{t4}"
99,0.969063,-2447.92,-13.9335,-2461.86,"{t2|t3|t4}|{t1}"
100,0.791409,-2327.1,-13.9163,-2341.02,"{t1|t2|t3}|{t4}"
101,0.871696,-2323.87,-13.9225,-2337.79,"{t1|t2|t3}|{t4}"
102,0.970788,-2336.69,-13.9318,-2350.62,"{t3|t4}|{t1|t2}"
103,0.564501,-2188.33,-13.9234,-2202.26,"{t1|t2|t4}|{t3}"
104,1.17393,-2550.29,-13.9363,-2564.23,"{t1|t3|t4}|{t2}"
105,0.521584,-2189.46,-13.9187,-2203.38,"{t1|t2|t4}|{t3}"
106,1.24826,-2550.44,-13.9404,-2564.38,"{t1|t3|t4}|{t2}"
107,1.11506,-2552.49,-13.9276,-2566.42,"{t1|t3|t4}|{t2}"
108,0.962735,-2447.43,-13.9292,-2461.36,"{t2|t3|t4}|{t1}"
109,1.00988,-2447.11,-13.9338,-2461.04,"{t2|t3|t4}|{t1}"
110,0.852812,-2325.13,-13.9245,-2339.05,"{t1|t2|t3}|{t4}"
111,0.941374,-2447.54,-13.9296,-2461.47,"{t2|t3|t4}|{t1}"
112,0.921547,-2448.61,-13.9218,-2462.53,"{t2|t3|t4}|{t1}"
113,1.03934,-2336.26,-13.9363,-2350.19,"{t3|t4}|{t1|t2}"
114,0.909811,-2322.67,-13.9277,-2336.59,"{t1|t2|t3}|{t4}"
115,0.543371,-2190.06,-13.9244,-2203.98,"{t1|t2|t4}|{t3}"
116,1.03456,-2448.25,-13.9326,-2462.18,"{t2|t3|t4}|{t1}"
117,1.10767,-2550.19,-13.9276,-2564.12,"{t1|t3|t4}|{t2}"
118,0.963967,-2336.37,-13.9245,-2350.29,"{t3|t4}|{t1|t2}"
119,1.13539,-2549.59,-13.9304,-2563.52,"{t1|t3|t4}|{t2}"
120,0.909621,-2322.41,-13.9315,-2336.34,"{t1|t2|t3}|{t4}"
121,1.03377,-2447.68,-13.9382,-2461.62,"{t2|t3|t4}|{t1}"
122,0.902437,-2447.99,-13.9266,-2461.92,"{t2|t3|t4}|{t1}"
123,0.537002,-2189.58,-13.9302,-2203.51,"{t1|t2|t4}|{t3}"
124,1.12456,-2337.8,-13.9443,-2351.74,"{t3|t4}|{t1|t2}"
125,1.03223,-2447.99,-13.9388,-2461.93,"{t2|t3|t4}|{t1}"
126,1.06462,-2449.26,-13.9409,-2463.2,"{t2|t3|t4}|{t1}"
127,0.962348,-2447.02,-13.9315,-2460.95,"{t2|t3|t4}|{t1}"
128,0.736984,-2328.86,-13.9095,-2342.77,"{t1|t2|t3}|{t4}"
129,1.11662,-2338.7,-13.943,-2352.65,"{t3|t4}|{t1|t2}"
130,0.931759,-2447.29,-13.9279,-2461.22,"{t2|t3|t4}|{t1}"
131,0.88083,-2324.97,-13.9289,-2338.9,"{t1|t2|t3}|{t4}"
132,0.964479,-2336.58,-13.925,-2350.5,"{t3|t4}|{t1|t2}"
133,0.914143,-2324.13,-13.9343,-2338.06,"{t1|t2|t3}|{t4}"
134,0.943711,-2447.45,-13.9257,-2461.37,"{t2|t3|t4}|{t1}"
135,0.991411,-2336.59,-13.9284,-2350.52,"{t3|t4}|{t1|t2}"
136,0.488984,-2191.48,-13.9311,-2205.41,"{t1|t2|t4}|{t3}"
137,0.981115,-2324.31,-13.9364,-2338.25,"{t1|t2|t3}|{t4}"
138,0.926898,-2447.17,-13.926,-2461.09,"{t2|t3|t4}|{t1}"
139,0.54727,-2189.03,-13.9225,-2202.95,"{t1|t2|t4}|{t3}"
140,0.575819,-2188.77,-13.9242,-2202.69,"{t1|t2|t4}|{t3}"
141,1.00171,-2447.04,-13.935,-2460.97,"{t2|t3|t4}|{t1}"
142,0.896736,-2322.91,-13.9273,-2336.84,"{t1|t2|t3}|{t4}"
143,0.932571,-2448.21,-13.9323,-2462.15,"{t2|t3|t4}|{t1}"
144,0.868525,-2323.42,-13.9201,-2337.34,"{t1|t2|t3}|{t4}"
145,0.608666,-2188.8,-13.9362,-2202.73,"{t1|t2|t4}|{t3}"
146,0.604762,-2193.85,-13.9342,-2207.79,"{t1|t2|t4}|{t3}"
147,1.00697,-2555.68,-13.917,-2569.6,"{t1|t3|t4}|{t2}"
148,1.18257,-2549.54,-13.9369,-2563.48,"{t1|t3|t4}|{t2}"
149,1.0535,-2449.44,-13.9424,-2463.38,"{t2|t3|t4}|{t1}"
150,0.923922,-2322.87,-13.9279,-2336.8,"{t1|t2|t3}|{t4}"
151,0.944566,-2337.19,-13.9251,-2351.12,"{t3|t4}|{t1|t2}"
152,0.547825,-2189.84,-13.9212,-2203.76,"{t1|t2|t4}|{t3}"
153,1.18217,-2550.2,-13.9341,-2564.14,"{t1|t3|t4}|{t2}"
154,1.15475,-2549.53,-13.9332,-2563.46,"{t1|t3|t4}|{t2}"
155,1.00237,-2449.8,-13.9385,-2463.74,"{t2|t3|t4}|{t1}"
156,1.17599,-2339.76,-13.9459,-2353.7,"{t3|t4}|{t1|t2}"
157,1.03164,-2336.25,-13.9312,-2350.18,"{t3|t4}|{t1|t2}"
158,0.962424,-2336.73,-13.9205,-2350.65,"{t3|t4}|{t1|t2}"
159,0.950488,-2322.51,-13.9295,-2336.44,"{t1|t2|t3}|{t4}"
160,0.483721,-2191.77,-13.9267,-2205.69,"{t1|t2|t4}|{t3}"
161,1.12282,-2337.44,-13.9397,-2351.38,"{t3|t4}|{t1|t2}"
162,0.992348,-2336.25,-13.9335,-2350.19,"{t3|t4}|{t1|t2}"
163,0.972818,-2336.29,-13.9289,-2350.22,"{t3|t4}|{t1|t2}"
164,1.04383,-2336.85,-13.9298,-2350.78,"{t3|t4}|{t1|t2}"
165,1.17605,-2549.78,-13.9345,-2563.72,"{t1|t3|t4}|{t2}"
166,1.10757,-2550.76,-13.9281,-2564.69,"{t1|t3|t4}|{t2}"
167,1.07355,-2336.9,-13.9338,-2350.83,"{t3|t4}|{t1|t2}"
168,1.12928,-2551.58,-13.9304,-2565.51,"{t1|t3|t4}|{t2}"
169,1.09149,-2554.13,-13.9264,-2568.06,"{t1|t3|t4}|{t2}"
170,0.623641,-2188.97,-13.9251,-2202.89,"{t1|t2|t4}|{t3}"
171,1.0544,-2336.63,-13.9315,-2350.56,"{t3|t4}|{t1|t2}"
172,0.900235,-2449,-13.9209,-2462.92,"{t2|t3|t4}|{t1}"
173,0.602419,-2188.56,-13.9345,-2202.5,"{t1|t2|t4}|{t3}"
174,0.523785,-2189.24,-13.9242,-2203.17,"{t1|t2|t4}|{t3}"
175,0.936746,-2322.57,-13.9321,-2336.5,"{t1|t2|t3}|{t4}"
176,0.958859,-2336.52,-13.928,-2350.45,"{t3|t4}|{t1|t2}"
177,0.883404,-2448.19,-13.9256,-2462.12,"{t2|t3|t4}|{t1}"
178,1.0095,-2336.17,-13.9346,-2350.11,"{t3|t4}|{t1|t2}"
179,0.81451,-2325.41,-13.9302,-2339.34,"{t1|t2|t3}|{t4}"
180,0.89538,-2324.28,-13.9228,-2338.2,"{t1|t2|t3}|{t4}"
181,1.08232,-2336.78,-13.9317,-2350.71,"{t3|t4}|{t1|t2}"
182,0.549144,-2188.83,-13.9229,-2202.76,"{t1|t2|t4}|{t3}"
183,0.96286,-2323.34,-13.9358,-2337.27,"{t1|t2|t3}|{t4}"
184,0.881357,-2448.26,-13.922,-2462.18,"{t2|t3|t4}|{t1}"
185,1.12952,-2550.65,-13.9287,-2564.58,"{t1|t3|t4}|{t2}"
186,0.997562,-2449.76,-13.9333,-2463.7,"{t2|t3|t4}|{t1}"
187,0.581209,-2188.32,-13.93,-2202.25,"{t1|t2|t4}|{t3}"
188,1.03373,-2447.64,-13.9364,-2461.58,"{t2|t3|t4}|{t1}"
189,1.07178,-2550.65,-13.9231,-2564.57,"{t1|t3|t4}|{t2}"
190,1.16345,-2550.59,-13.9339,-2564.52,"{t1|t3|t4}|{t2}"
191,0.866816,-2338.78,-13.9166,-2352.69,"{t3|t4}|{t1|t2}"
192,0.606368,-2188.62,-13.9433,-2202.56,"{t1|t2|t4}|{t3}"
193,1.12265,-2337.52,-13.9316,-2351.45,"{t3|t4}|{t1|t2}"
194,0.899435,-2448.8,-13.923,-2462.72,"{t2|t3|t4}|{t1}"
195,1.16273,-2549.97,-13.9328,-2563.91,"{t1|t3|t4}|{t2}"
196,0.906113,-2324,-13.9244,-2337.93,"{t1|t2|t3}|{t4}"
197,1.01629,-2336.68,-13.9291,-2350.61,"{t3|t4}|{t1|t2}"
198,0.871571,-2338.53,-13.9169,-2352.44,"{t3|t4}|{t1|t2}"
199,0.931435,-2323.16,-13.9357,-2337.1,"{t1|t2|t3}|{t4}"
200,1.13278,-2549.75,-13.9314,-2563.68,"{t1|t3|t4}|{t2}"
201,0.925836,-2447.29,-13.9297,-2461.22,"{t2|t3|t4}|{t1}"
202,0.834635,-2450.73,-13.9166,-2464.64,"{t2|t3|t4}|{t1}"
203,0.965314,-2323.08,-13.9299,-2337.01,"{t1|t2|t3}|{t4}"
204,0.62403,-2188.95,-13.9423,-2202.89,"{t1|t2|t4}|{t3}"
205,0.909349,-2337.58,-13.9163,-2351.5,"{t3|t4}|{t1|t2}"
206,1.21096,-2550.17,-13.9391,-2564.11,"{t1|t3|t4}|{t2}"
207,1.01865,-2447.19,-13.9364,-2461.13,"{t2|t3|t4}|{t1}"
208,0.599981,-2189.09,-13.9306,-2203.02,"{t1|t2|t4}|{t3}"
209,0.999049,-2338.35,-13.93,-2352.28,"{t3|t4}|{t1|t2}"
210,0.987477,-2336.95,-13.9278,-2350.88,"{t3|t4}|{t1|t2}"
211,0.950279,-2447.1,-13.9289,-2461.02,"{t2|t3|t4}|{t1}"
212,0.972148,-2323.38,-13.933,-2337.31,"{t1|t2|t3}|{t4}"
213,1.03256,-2552.11,-13.9213,-2566.03,"{t1|t3|t4}|{t2}"
214,0.568254,-2188.57,-13.9292,-2202.5,"{t1|t2|t4}|{t3}"
215,0.577113,-2189.1,-13.9415,-2203.04,"{t1|t2|t4}|{t3}"
216,0.919728,-2338.3,-13.9244,-2352.23,"{t3|t4}|{t1|t2}"
217,0.993075,-2447.3,-13.9337,-2461.23,"{t2|t3|t4}|{t1}"
218,0.543318,-2189.29,-13.9226,-2203.21,"{t1|t2|t4}|{t3}"
219,0.932689,-2324.98,-13.9382,-2338.91,"{t1|t2|t3}|{t4}"
220,0.934355,-2322.52,-13.9313,-2336.45,"{t1|t2|t3}|{t4}"
221,0.918562,-2447.26,-13.9317,-2461.19,"{t2|t3|t4}|{t1}"
222,1.01578,-2323.97,-13.9335,-2337.9,"{t1|t2|t3}|{t4}"
223,0.991459,-2336.52,-13.9235,-2350.44,"{t3|t4}|{t1|t2}"
224,0.546856,-2189.18,-13.9261,-2203.1,"{t1|t2|t4}|{t3}"
225,0.931405,-2323.03,-13.929,-2336.96,"{t1|t2|t3}|{t4}"
226,0.909284,-2337.53,-13.9186,-2351.45,"{t3|t4}|{t1|t2}"
227,0.977859,-2448.37,-13.9308,-2462.3,"{t2|t3|t4}|{t1}"
228,0.887057,-2323.21,-13.9272,-2337.14,"{t1|t2|t3}|{t4}"
229,1.04267,-2551.66,-13.9261,-2565.58,"{t1|t3|t4}|{t2}"
230,0.994451,-2336.17,-13.9266,-2350.1,"{t3|t4}|{t1|t2}"
231,1.08019,-2448.37,-13.9418,-2462.31,"{t2|t3|t4}|{t1}"
232,0.980073,-2336.24,-13.9261,-2350.17,"{t3|t4}|{t1|t2}"
233,1.1694,-2550.57,-13.9328,-2564.5,"{t1|t3|t4}|{t2}"
234,0.558556,-2190.98,-13.935,-2204.91,"{t1|t2|t4}|{t3}"
235,0.928311,-2322.8,-13.9311,-2336.73,"{t1|t2|t3}|{t4}"
236,1.08446,-2337.12,-13.9292,-2351.05,"{t3|t4}|{t1|t2}"
237,0.932115,-2447.07,-13.9271,-2461,"{t2|t3|t4}|{t1}"
238,0.860737,-2324.04,-13.9251,-2337.97,"{t1|t2|t3}|{t4}"
239,1.03194,-2324.14,-13.9403,-2338.08,"{t1|t2|t3}|{t4}"
240,0.966743,-2322.64,-13.9325,-2336.57,"{t1|t2|t3}|{t4}"
241,1.00123,-2553.22,-13.9185,-2567.14,"{t1|t3|t4}|{t2}"
242,0.900957,-2324.36,-13.9249,-2338.29,"{t1|t2|t3}|{t4}"
243,0.9498,-2323.82,-13.9346,-2337.75,"{t1|t2|t3}|{t4}"
244,1.00359,-2322.94,-13.9403,-2336.88,"{t1|t2|t3}|{t4}"
245,1.01631,-2451.7,-13.9354,-2465.63,"{t2|t3|t4}|{t1}"
246,1.04625,-2552.18,-13.9227,-2566.11,"{t1|t3|t4}|{t2}"
247,0.888852,-2322.82,-13.9255,-2336.75,"{t1|t2|t3}|{t4}"
248,0.520538,-2189.26,-13.9289,-2203.19,"{t1|t2|t4}|{t3}"
249,1.14101,-2549.72,-13.9305,-2563.65,"{t1|t3|t4}|{t2}"
250,0.963599,-2448.52,-13.9346,-2462.46,"{t2|t3|t4}|{t1}"
251,1.16205,-2549.53,-13.9332,-2563.46,"{t1|t3|t4}|{t2}"
252,0.97018,-2447.07,-13.93,-2461,"{t2|t3|t4}|{t1}"
253,0.622628,-2190.09,-13.9305,-2204.02,"{t1|t2|t4}|{t3}"
254,0.52601,-2189.7,-13.9244,-2203.62,"{t1|t2|t4}|{t3}"
255,1.17507,-2550.7,-13.9352,-2564.64,"{t1|t3|t4}|{t2}"
256,0.900786,-2324.45,-13.9276,-2338.37,"{t1|t2|t3}|{t4}"
257,1.1425,-2550.84,-13.9313,-2564.77,"{t1|t3|t4}|{t2}"
258,1.15627,-2551.53,-13.9328,-2565.47,"{t1|t3|t4}|{t2}"
259,0.984772,-2322.53,-13.931,-2336.47,"{t1|t2|t3}|{t4}"
260,0.987326,-2448.24,-13.9382,-2462.18,"{t2|t3|t4}|{t1}"
261,1.17465,-2451.49,-13.9477,-2465.44,"{t2|t3|t4}|{t1}"
262,0.500199,-2191.09,-13.9293,-2205.01,"{t1|t2|t4}|{t3}"
263,1.06188,-2448.87,-13.9425,-2462.81,"{t2|t3|t4}|{t1}"
264,0.919399,-2447.24,-13.9277,-2461.17,"{t2|t3|t4}|{t1}"
265,1.16714,-2549.44,-13.9328,-2563.37,"{t1|t3|t4}|{t2}"
266,0.942402,-2322.67,-13.9301,-2336.6,"{t1|t2|t3}|{t4}"
267,0.627048,-2190.98,-13.9392,-2204.92,"{t1|t2|t4}|{t3}"
268,0.576927,-2188.69,-13.9339,-2202.62,"{t1|t2|t4}|{t3}"
269,1.19386,-2550.06,-13.9362,-2563.99,"{t1|t3|t4}|{t2}"
270,1.07162,-2550.69,-13.9231,-2564.61,"{t1|t3|t4}|{t2}"
271,1.07713,-2337.22,-13.9322,-2351.15,"{t3|t4}|{t1|t2}"
272,0.621954,-2189.9,-13.9302,-2203.83,"{t1|t2|t4}|{t3}"
273,0.956498,-2336.53,-13.9269,-2350.46,"{t3|t4}|{t1|t2}"
274,1.02894,-2556.41,-13.9205,-2570.33,"{t1|t3|t4}|{t2}"
275,0.966553,-2447.46,-13.9293,-2461.39,"{t2|t3|t4}|{t1}"
276,0.551537,-2188.9,-13.9297,-2202.83,"{t1|t2|t4}|{t3}"
277,0.87355,-2338.56,-13.9182,-2352.48,"{t3|t4}|{t1|t2}"
278,1.05602,-2336.47,-13.9329,-2350.4,"{t3|t4}|{t1|t2}"
279,0.975943,-2447.99,-13.9291,-2461.92,"{t2|t3|t4}|{t1}"
280,1.07048,-2448,-13.9398,-2461.94,"{t2|t3|t4}|{t1}"
281,0.910574,-2449.78,-13.9295,-2463.71,"{t2|t3|t4}|{t1}"
282,0.816226,-2324.73,-13.9169,-2338.64,"{t1|t2|t3}|{t4}"
283,1.10947,-2551.16,-13.9279,-2565.09,"{t1|t3|t4}|{t2}"
284,0.887444,-2322.89,-13.9306,-2336.82,"{t1|t2|t3}|{t4}"
285,0.841574,-2326.01,-13.9181,-2339.92,"{t1|t2|t3}|{t4}"
286,0.953217,-2323.46,-13.9335,-2337.4,"{t1|t2|t3}|{t4}"
287,0.528206,-2189.06,-13.924,-2202.99,"{t1|t2|t4}|{t3}"
288,0.824027,-2324.68,-13.9301,-2338.61,"{t1|t2|t3}|{t4}"
289,0.553156,-2190.68,-13.9341,-2204.61,"{t1|t2|t4}|{t3}"
290,0.902844,-2323.73,-13.9244,-2337.66,"{t1|t2|t3}|{t4}"
291,0.9976,-2336.16,-13.9285,-2350.08,"{t3|t4}|{t1|t2}"
292,1.13781,-2549.78,-13.9302,-2563.71,"{t1|t3|t4}|{t2}"
293,1.00113,-2336.18,-13.9297,-2350.11,"{t3|t4}|{t1|t2}"
294,0.909623,-2337.44,-13.9293,-2351.37,"{t3|t4}|{t1|t2}"
295,0.905299,-2325.3,-13.9246,-2339.23,"{t1|t2|t3}|{t4}"
296,0.893971,-2447.95,-13.9278,-2461.88,"{t2|t3|t4}|{t1}"
297,1.03115,-2336.3,-13.934,-2350.23,"{t3|t4}|{t1|t2}"
298,1.11318,-2325.53,-13.9448,-2339.47,"{t1|t2|t3}|{t4}"
299,0.82184,-2325.77,-13.9184,-2339.68,"{t1|t2|t3}|{t4}"
300,0.867135,-2324.57,-13.9309,-2338.5,"{t1|t2|t3}|{t4}"
301,1.11599,-2551.67,-13.9294,-2565.6,"{t1|t3|t4}|{t2}"
302,0.551358,-2190.91,-13.916,-2204.83,"{t1|t2|t4}|{t3}"
303,1.14052,-2549.48,-13.9307,-2563.41,"{t1|t3|t4}|{t2}"
304,0.981441,-2449.61,-13.9291,-2463.54,"{t2|t3|t4}|{t1}"
305,1.06437,-2552.07,-13.926,-2566,"{t1|t3|t4}|{t2}"
306,1.13534,-2550.05,-13.9305,-2563.98,"{t1|t3|t4}|{t2}"
307,0.872871,-2326.37,-13.9283,-2340.3,"{t1|t2|t3}|{t4}"
308,1.10081,-2550.63,-13.9265,-2564.56,"{t1|t3|t4}|{t2}"
309,0.943475,-2322.75,-13.9367,-2336.69,"{t1|t2|t3}|{t4}"
310,0.968361,-2336.72,-13.9277,-2350.65,"{t3|t4}|{t1|t2}"
311,0.922992,-2325.32,-13.9312,-2339.25,"{t1|t2|t3}|{t4}"
312,0.896718,-2323.07,-13.9257,-2337,"{t1|t2|t3}|{t4}"
313,0.548783,-2188.59,-13.9267,-2202.52,"{t1|t2|t4}|{t3}"
314,0.955627,-2448.46,-13.9291,-2462.39,"{t2|t3|t4}|{t1}"
315,1.04603,-2551.68,-13.922,-2565.6,"{t1|t3|t4}|{t2}"
316,0.583868,-2188.72,-13.9301,-2202.65,"{t1|t2|t4}|{t3}"
317,0.978212,-2323.02,-13.9303,-2336.95,"{t1|t2|t3}|{t4}"
318,0.507857,-2189.93,-13.9248,-2203.86,"{t1|t2|t4}|{t3}"
319,1.01899,-2337.77,-13.9343,-2351.7,"{t3|t4}|{t1|t2}"
320,1.1962,-2550.91,-13.9357,-2564.85,"{t1|t3|t4}|{t2}"
321,1.1803,-2549.9,-13.9373,-2563.84,"{t1|t3|t4}|{t2}"
322,1.01553,-2447.52,-13.933,-2461.45,"{t2|t3|t4}|{t1}"
323,1.17858,-2549.42,-13.9361,-2563.36,"{t1|t3|t4}|{t2}"
324,0.991839,-2336.82,-13.9296,-2350.75,"{t3|t4}|{t1|t2}"
325,0.586768,-2189.96,-13.9274,-2203.88,"{t1|t2|t4}|{t3}"
