index,forest_length,likelihood,prior,posterior,leaves
513,0.925719,-2447.25,-13.9259,-2461.18,"{t2|t3|t4}|{t1}"
514,0.889171,-2338.05,-13.9203,-2351.97,"{t3|t4}|{t1|t2}"
515,1.06833,-2550.76,-13.9241,-2564.69,"{t1|t3|t4}|{t2}"
516,1.12076,-2551.22,-13.9296,-2565.15,"{t1|t3|t4}|{t2}"
517,1.01375,-2336.2,-13.9289,-2350.13,"{t3|t4}|{t1|t2}"
518,0.969937,-2447.06,-13.932,-2460.99,"{t2|t3|t4}|{t1}"
519,0.931061,-2336.92,-13.9264,-2350.85,"{t3|t4}|{t1|t2}"
520,1.14015,-2338.56,-13.9365,-2352.5,"{t3|t4}|{t1|t2}"
521,0.929511,-2322.97,-13.9337,-2336.91,"{t1|t2|t3}|{t4}"
522,0.612205,-2188.96,-13.9389,-2202.9,"{t1|t2|t4}|{t3}"
523,0.866959,-2325.11,-13.9265,-2339.03,"{t1|t2|t3}|{t4}"
524,0.942577,-2337.15,-13.9271,-2351.08,"{t3|t4}|{t1|t2}"
525,1.20096,-2339.3,-13.9466,-2353.25,"{t3|t4}|{t1|t2}"
526,0.946081,-2336.68,-13.9347,-2350.61,"{t3|t4}|{t1|t2}"
527,0.608657,-2189.33,-13.928,-2203.25,"{t1|t2|t4}|{t3}"
528,0.538725,-2188.98,-13.932,-2202.91,"{t1|t2|t4}|{t3}"
529,0.867596,-2325.16,-13.922,-2339.08,"{t1|t2|t3}|{t4}"
530,1.12024,-2549.96,-13.9299,-2563.89,"{t1|t3|t4}|{t2}"
531,1.07449,-2550.98,-13.9238,-2564.9,"{t1|t3|t4}|{t2}"
532,0.921696,-2337.12,-13.922,-2351.05,"{t3|t4}|{t1|t2}"
533,0.889571,-2448.07,-13.9225,-2461.99,"{t2|t3|t4}|{t1}"
534,0.95512,-2446.88,-13.9344,-2460.81,"{t2|t3|t4}|{t1}"
535,1.16015,-2550.41,-13.9323,-2564.35,"{t1|t3|t4}|{t2}"
536,1.07309,-2553.04,-13.9263,-2566.97,"{t1|t3|t4}|{t2}"
537,1.14256,-2550.17,-13.9304,-2564.1,"{t1|t3|t4}|{t2}"
538,1.06777,-2449.35,-13.9393,-2463.29,"{t2|t3|t4}|{t1}"
539,0.98108,-2322.77,-13.935,-2336.71,"{t1|t2|t3}|{t4}"
540,0.931247,-2447.6,-13.9248,-2461.53,"{t2|t3|t4}|{t1}"
541,0.947694,-2446.98,-13.9294,-2460.91,"{t2|t3|t4}|{t1}"
542,1.00907,-2554.14,-13.9203,-2568.06,"{t1|t3|t4}|{t2}"
543,0.933333,-2324.53,-13.9321,-2338.47,"{t1|t2|t3}|{t4}"
544,1.08174,-2336.82,-13.9325,-2350.76,"{t3|t4}|{t1|t2}"
545,0.91234,-2447.57,-13.9234,-2461.5,"{t2|t3|t4}|{t1}"
546,0.931899,-2452.46,-13.9289,-2466.39,"{t2|t3|t4}|{t1}"
547,0.81819,-2324.56,-13.9232,-2338.49,"{t1|t2|t3}|{t4}"
548,0.487176,-2191.22,-13.9291,-2205.15,"{t1|t2|t4}|{t3}"
