index,forest_length,likelihood,prior,posterior,merged_leaves
895,0.56717,-1497.41,-2.33299,-1499.75,3
896,0.904687,-1632.35,-2.31546,-1634.67,3
897,0.769636,-1634.53,-2.31377,-1636.84,3
898,0.926604,-1629.42,-2.31877,-1631.73,3
899,0.950019,-2337.94,-4.62023,-2342.56,4
900,1.18343,-1856.55,-2.30347,-1858.85,3
901,0.200115,-1025.11,-2.31727,-1027.42,2
902,1.03902,-2336.23,-4.62176,-2340.85,4
903,0.62125,-1497.57,-2.32705,-1499.9,3
904,0.174703,-1026,-2.31818,-1028.31,2
905,1.08149,-2336.7,-4.61849,-2341.31,4
906,0.135379,-1031.15,-2.31849,-1033.47,2
907,0.214791,-1025.23,-2.31298,-1027.54,2
908,0.517812,-1499.45,-2.3302,-1501.78,3
909,0.5233,-1497.62,-2.33288,-1499.95,3
910,0.528906,-1496.32,-2.33229,-1498.65,3
911,1.00991,-1859.99,-2.30362,-1862.29,3
912,0.212241,-1025.18,-2.31605,-1027.49,2
913,0.190456,-1025.27,-2.32156,-1027.59,2
914,1.00726,-1755.99,-2.31193,-1758.3,3
915,0.936431,-2339.32,-4.619,-2343.94,4
916,1.1368,-1857.61,-2.30345,-1859.92,3
917,1.13833,-2337.84,-4.61739,-2342.45,4
918,1.09958,-1857.1,-2.30264,-1859.4,3
919,0.941517,-1754.99,-2.31074,-1757.3,3
920,0.955997,-1630.76,-2.31388,-1633.08,3
921,0.179669,-1025.7,-2.3147,-1028.01,2
922,0.519856,-1496.73,-2.32963,-1499.06,3
923,0.205992,-1025.1,-2.31893,-1027.42,2
924,0.913939,-1633.13,-2.31469,-1635.45,3
925,0.201088,-1025.1,-2.319,-1027.42,2
926,1.236,-1856.88,-2.30313,-1859.19,3
927,0.960272,-2336.49,-4.62015,-2341.11,4
928,0.614396,-1495.98,-2.32601,-1498.31,3
929,1.09076,-2337.24,-4.6178,-2341.86,4
930,1.1493,-1856.47,-2.30354,-1858.77,3
931,1.09545,-1860.63,-2.30408,-1862.93,3
932,0.235061,-1026,-2.31166,-1028.31,2
933,0.193001,-1025.2,-2.31737,-1027.52,2
934,1.18429,-1856.85,-2.30379,-1859.16,3
935,0.527861,-1496.1,-2.32978,-1498.43,3
936,0.94441,-2337.76,-4.61944,-2342.38,4
937,1.0406,-2336.46,-4.62243,-2341.08,4
938,1.02543,-1860.74,-2.30348,-1863.05,3
939,0.586596,-1495.22,-2.33618,-1497.56,3
940,0.184742,-1025.46,-2.31603,-1027.78,2
941,0.829293,-1632.83,-2.314,-1635.14,3
942,0.98028,-1754,-2.3125,-1756.32,3
943,0.195129,-1025.16,-2.31577,-1027.48,2
944,0.846726,-1756.38,-2.31002,-1758.69,3
945,0.916171,-1629.87,-2.31402,-1632.19,3
946,1.00022,-2336.16,-4.61684,-2340.77,4
947,1.06833,-1858.56,-2.30295,-1860.86,3
948,0.211661,-1025.17,-2.31588,-1027.48,2
949,0.223003,-1025.46,-2.31546,-1027.78,2
950,0.924059,-1630.18,-2.31403,-1632.5,3
951,1.24794,-1857.07,-2.30286,-1859.37,3
952,0.58806,-1496,-2.33164,-1498.33,3
953,0.956788,-1755.21,-2.31409,-1757.53,3
954,0.206978,-1025.11,-2.31451,-1027.43,2
955,0.956819,-2336.48,-4.61608,-2341.09,4
956,0.991583,-1631.07,-2.31383,-1633.39,3
957,0.835063,-1631.7,-2.31709,-1634.01,3
958,1.0088,-2336.32,-4.62573,-2340.95,4
959,1.07595,-1858.49,-2.30416,-1860.79,3
960,1.12936,-1856.71,-2.30369,-1859.01,3
961,0.185351,-1025.44,-2.31478,-1027.75,2
962,0.183167,-1025.53,-2.31765,-1027.84,2
963,0.257246,-1027.53,-2.32267,-1029.85,2
964,0.878252,-2338.96,-4.62311,-2343.58,4
965,1.10665,-2338.37,-4.62091,-2342.99,4
966,0.570517,-1496.34,-2.33222,-1498.67,3
967,1.17592,-1856.26,-2.30419,-1858.56,3
968,0.870303,-1755.56,-2.31131,-1757.87,3
969,0.177149,-1025.84,-2.31532,-1028.16,2
970,0.915856,-2337.16,-4.62251,-2341.78,4
971,0.894782,-1755.28,-2.31184,-1757.59,3
972,1.07872,-1857.61,-2.30298,-1859.92,3
973,0.962098,-1754.12,-2.31017,-1756.43,3
974,0.885505,-1629.94,-2.31359,-1632.25,3
975,0.250659,-1027.01,-2.316,-1029.33,2
976,0.913105,-2337.57,-4.62347,-2342.19,4
977,1.03613,-1859.71,-2.30369,-1862.01,3
978,1.11893,-1857.16,-2.30334,-1859.46,3
979,0.544435,-1496.16,-2.33305,-1498.49,3
980,0.925113,-2337.1,-4.61869,-2341.72,4
981,0.201273,-1025.1,-2.31728,-1027.42,2
982,0.194039,-1025.18,-2.31503,-1027.5,2
983,0.98834,-2336.52,-4.62108,-2341.14,4
984,0.890972,-1754.66,-2.31231,-1756.97,3
985,0.927,-1629.71,-2.31529,-1632.03,3
986,1.0507,-1858.85,-2.30349,-1861.15,3
987,0.199088,-1025.11,-2.31546,-1027.43,2
988,1.08683,-1756.78,-2.30826,-1759.09,3
989,0.958407,-1629.14,-2.31586,-1631.46,3
990,0.203758,-1025.1,-2.31491,-1027.41,2
991,0.228895,-1025.7,-2.31686,-1028.02,2
992,0.222641,-1025.45,-2.31801,-1027.77,2
993,0.945592,-2337.13,-4.61497,-2341.75,4
994,0.15563,-1027.81,-2.31664,-1030.13,2
995,0.891154,-1755.26,-2.31168,-1757.58,3
996,0.238874,-1026.22,-2.31608,-1028.54,2
997,1.10576,-2337.22,-4.612,-2341.83,4
998,1.12211,-1857.16,-2.30303,-1859.47,3
999,0.91993,-1629.32,-2.31373,-1631.63,3
1000,0.898572,-1629.68,-2.31297,-1632,3
