index,forest_length,likelihood,prior,posterior,leaves
64,3.41247,-5121.87,-41.7883,-5163.65,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
65,3.11896,-5089.55,-41.776,-5131.33,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
66,3.11321,-5028.16,-41.7743,-5069.94,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
67,3.3917,-5378.62,-41.7882,-5420.41,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
68,3.14466,-5039.3,-41.7747,-5081.07,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
69,3.31553,-5052.21,-41.8004,-5094.01,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
70,3.32863,-5279.1,-41.786,-5320.89,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
71,3.2787,-5358.28,-41.7828,-5400.07,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
72,3.26974,-5042.32,-41.7846,-5084.1,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
73,3.24967,-5113.52,-41.7955,-5155.32,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
74,3.23841,-5144.73,-41.7891,-5186.52,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
75,3.15833,-5088.76,-41.7837,-5130.54,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
76,3.22803,-5456.03,-41.7701,-5497.8,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
77,3.33589,-5451.6,-41.7816,-5493.38,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
78,2.658,-4930.6,-41.7906,-4972.39,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
79,3.12168,-5009.38,-41.799,-5051.18,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
80,3.32196,-5123.14,-41.786,-5164.92,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
81,3.2001,-5041.11,-41.7899,-5082.89,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
82,2.62872,-4929.15,-41.8026,-4970.95,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
